total_pnl_bps,ann_return_pct,sharpe,max_dd_bps,win_rate,n_trades,time_in_mkt_pct,n_bars,pnl_per_trade,T_open,T_close,T_flip,fee_rt,max_hold
-1511.3557294357568,-53.166316720975146,-2.931934977925844,2690.0394188226346,0.4972170686456401,1113,43.28969560677857,12451,-1.3579117065909765,1.0,-2.0,1.5,3.6,5
-1467.9463976622555,-51.63926770348309,-2.4948545292371325,2511.047634105083,0.5013422818791946,804,59.83455144165127,12451,-1.8258039771918602,1.0,-2.0,1.5,3.6,10
-482.57330233493093,-16.975914097076522,-0.7425861408075771,1491.9575629074275,0.501066780456582,560,75.28712553208578,12451,-0.8617380398838053,1.0,-2.0,1.5,3.6,20
-1303.1139764039542,-45.84080970724697,-1.9245019880647325,2613.1650169254176,0.5017479122159643,450,82.70821620753354,12451,-2.8958088364532317,1.0,-2.0,1.5,3.6,30
-1956.5557294357568,-68.82751662459735,-3.7934502718058676,2948.8394188226666,0.49554730983302414,1113,43.28969560677857,12451,-1.7579117065909764,1.0,-2.0,1.5,4.0,5
-1789.546397662256,-62.95247949370075,-3.0399732385106963,2737.447634105105,0.5006711409395973,804,59.83455144165127,12451,-2.2258039771918607,1.0,-2.0,1.5,4.0,10
-706.5733023349312,-24.855763105188327,-1.0869407233987596,1645.9575629074243,0.5007467463196075,560,75.28712553208578,12451,-1.2617380398838058,1.0,-2.0,1.5,4.0,20
-1483.1139764039544,-52.17283123162253,-2.189819877350217,2719.165016925428,0.5015536997475238,450,82.70821620753354,12451,-3.295808836453232,1.0,-2.0,1.5,4.0,30
-3292.155729435757,-115.81111633546396,-6.3689086753400606,3827.789577313455,0.48923933209647497,1113,43.28969560677857,12451,-2.9579117065909766,1.0,-2.0,1.5,5.2,5
-2754.346397662256,-96.89211486435373,-4.67067330946603,3422.1202411931454,0.4978523489932886,804,59.83455144165127,12451,-3.425803977191861,1.0,-2.0,1.5,5.2,10
-1378.5733023349312,-48.49531012952372,-2.118251978584129,2107.9575629074216,0.49861318540644334,560,75.28712553208578,12451,-2.4617380398838056,1.0,-2.0,1.5,5.2,20
-2023.1139764039544,-71.16889580474918,-2.9844890758482743,3037.1650169254117,0.5,450,82.70821620753354,12451,-4.495808836453232,1.0,-2.0,1.5,5.2,30
-3959.955729435756,-139.30291619089724,-7.650201202047235,4284.389577313595,0.48738404452690165,1113,43.28969560677857,12451,-3.5579117065909758,1.0,-2.0,1.5,5.8,5
-3236.746397662256,-113.86193254968022,-5.482867979176335,3765.32024119325,0.4966442953020134,804,59.83455144165127,12451,-4.025803977191861,1.0,-2.0,1.5,5.8,10
-1714.5733023349308,-60.315083641691416,-2.632688789400738,2338.957562907439,0.4980797951781523,560,75.28712553208578,12451,-3.0617380398838048,1.0,-2.0,1.5,5.8,20
-2293.1139764039544,-80.66692809131251,-3.380955678667247,3196.1650169254463,0.4997086812973393,450,82.70821620753354,12451,-5.095808836453232,1.0,-2.0,1.5,5.8,30
-4516.455729435756,-158.879416070425,-8.71397545330986,4664.889577313546,0.48460111317254173,1113,43.28969560677857,12451,-4.057911706590976,1.0,-2.0,1.5,6.3,5
-3638.746397662256,-128.00344728745227,-6.157808790009637,4051.320241193251,0.49516778523489935,804,59.83455144165127,12451,-4.525803977191861,1.0,-2.0,1.5,6.3,10
-1994.5733023349312,-70.16489490183118,-3.0606425552745034,2531.457562907442,0.4973330488585449,560,75.28712553208578,12451,-3.5617380398838057,1.0,-2.0,1.5,6.3,20
-2518.1139764039544,-88.58195499678196,-3.7108256593679956,3328.6650169254503,0.49912604389201787,450,82.70821620753354,12451,-5.595808836453232,1.0,-2.0,1.5,6.3,30
-5295.555729435757,-186.28651590176383,-10.196391725099293,5312.719474779442,0.48126159554730985,1113,43.28969560677857,12451,-4.757911706590977,1.0,-2.0,1.5,7.0,5
-4201.546397662256,-147.80156792033316,-7.099512838768426,4451.720241193194,0.49288590604026844,804,59.83455144165127,12451,-5.225803977191861,1.0,-2.0,1.5,7.0,10
