SUITE                        EXIT   LOG
----------------------------------------------------------------
tests_imports                0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_imports.log
drift_gate                   0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_drift_gate.log
tests_binance_broker         0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_binance_broker.log
tests_binance_executor       0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_binance_executor.log
tests_binance_funding        0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_binance_funding.log
tests_watchdog               0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_watchdog.log
tests_pilot_log              0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_pilot_log.log
tests_signal_and_loop        0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_signal_and_loop.log
tests_entrypoint_wiring      0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_entrypoint_wiring.log
tests_telegram_notify        0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_telegram_notify.log
tests_inference_parity       0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_inference_parity.log
tests_panel_build            0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_panel_build.log
tests_risk_budget            0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_risk_budget.log
tests_harvest_ema            0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_harvest_ema.log
tests_manifest_consistency   0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_manifest_consistency.log
tests_channel_causality      0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_channel_causality.log
tests_static_names           0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_static_names.log
tests_factor_health          0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_factor_health.log
tests_state_root             0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_state_root.log
tests_nosleep                0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_nosleep.log
tests_venue_fills            0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_venue_fills.log
tests_artifact_assertions    0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_artifact_assertions.log
metrics_freeze               0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_metrics_freeze.log
gate_coverage                0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_gate_coverage.log
tests_trip_page              0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_trip_page.log
tests_topup_leg_fill         0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_topup_leg_fill.log
tests_flatten_ladder         0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_flatten_ladder.log
tests_readback_universe      0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_readback_universe.log
tests_market_maxqty          0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_market_maxqty.log
tests_flatten_rows           0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_flatten_rows.log
tests_scoped_writes          0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_scoped_writes.log
tests_m4_rowtype             0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_m4_rowtype.log
tests_ghost_rows             0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_ghost_rows.log
tests_drift_gate             0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_drift_gate.log
tests_persistence_and_dust   0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_persistence_and_dust.log
tests_read_failure_visibility 0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_read_failure_visibility.log
tests_acceptance_entrypoints 0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_acceptance_entrypoints.log
tests_score_anchor_selection 0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_score_anchor_selection.log
tests_cond6_eligibility      0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_cond6_eligibility.log
tests_venue_error_classification 0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_venue_error_classification.log
tests_rehearsal_anchor       0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_rehearsal_anchor.log
tests_reconcile_qty_caliber  0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_reconcile_qty_caliber.log
tests_flatten_record         0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_flatten_record.log
tests_fill_collection_gap    0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_fill_collection_gap.log
tests_fill_backfill          0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_fill_backfill.log
tests_universe_guard         0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_universe_guard.log
tests_frozen_inputs          0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_frozen_inputs.log
tests_nav_staleness          0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_nav_staleness.log
tests_avgpx_backfill         0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_avgpx_backfill.log
tests_guard_coverage         0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_guard_coverage.log
tests_position_break_blindspot 0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_position_break_blindspot.log
tests_numerator_honesty      0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_numerator_honesty.log
tests_reconcile_severity     0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_reconcile_severity.log
tests_fee_asset_detection    0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_fee_asset_detection.log
tests_universe_tripwire      0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_universe_tripwire.log
tests_orphan_position        0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_orphan_position.log
tests_frontier_staleness     0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_frontier_staleness.log
tests_head_liveness          0      /Users/haosiyu/cc_tmp/claude-501/-Users-haosiyu-Desktop-quant-research/6737834a-f0b4-40e0-82a0-c0e83c0ccf5f/scratchpad/live_scratch_ext/state/acceptance/20260822T044258Z_tests_head_liveness.log
