## Diagnostic (no arm, no judge): settlement-window economics per settled-rate bucket × book side, 2023→cut, baseline B0_prod_s42 positions × all settlements in window (n events 1,572,105, 7907 anchors). Units: bps per event of the position's notional; CI95 = UTC-day-block bootstrap.
| bucket (bps/settlement) | side (role) | n (per anchor) | funding paid mean / median | price move WITH position mean [CI95] / median | intensify EV = move − funding − 7.84, mean [CI95] | notional share of gross/anchor |
|---|---|---|---|---|---|---|
| < −30 | long (receives) | 2,355 (0.298) | -75.07 / -54.61 | -76.24 [-100.31,-53.30] / -59.00 | -9.01 [-32.77,+14.17] | 0.0008 |
| < −30 | short (pays) | 6,164 (0.78) | +70.52 / +52.91 | +71.51 [+60.36,+82.56] / +64.90 | -6.85 [-18.23,+4.36] | 0.0020 |
| −30..−15 | long (receives) | 2,368 (0.299) | -20.99 / -20.41 | -15.08 [-26.33,-3.85] / -17.44 | -1.93 [-13.11,+9.38] | 0.0008 |
| −30..−15 | short (pays) | 7,164 (0.906) | +20.83 / +20.04 | +25.43 [+18.14,+32.94] / +26.67 | -3.24 [-10.51,+4.22] | 0.0025 |
| −15..−10 | long (receives) | 1,861 (0.235) | -12.24 / -12.10 | -0.27 [-13.33,+12.55] / -6.21 | +4.13 [-8.95,+16.97] | 0.0006 |
| −15..−10 | short (pays) | 7,202 (0.911) | +12.16 / +11.99 | +11.93 [+6.36,+17.26] / +14.91 | -8.07 [-13.65,-2.77] | 0.0028 |
| −10..−6 | long (receives) | 3,158 (0.399) | -7.71 / -7.56 | -4.16 [-12.12,+4.31] / -7.76 | -4.29 [-12.25,+4.18] | 0.0010 |
| −10..−6 | short (pays) | 14,288 (1.807) | +7.67 / +7.50 | +9.88 [+6.41,+13.24] / +11.31 | -5.63 [-9.09,-2.27] | 0.0062 |
| −6..+6 (ref) | long (mixed) | 739,146 (93.48) | +0.69 / +0.50 | +0.31 [-1.45,+1.99] / +0.00 | -8.22 [-9.97,-6.55] | 0.3387 |
| −6..+6 (ref) | short (mixed) | 770,443 (97.438) | -0.13 / -0.50 | +0.37 [-1.38,+2.12] / +0.01 | -7.34 [-9.08,-5.60] | 0.3555 |
| +6..+10 | long (pays) | 9,018 (1.141) | +7.43 / +7.21 | +9.06 [+2.20,+15.87] / +5.51 | -6.21 [-13.07,+0.61] | 0.0053 |
| +6..+10 | short (receives) | 4,880 (0.617) | -7.43 / -7.19 | -4.84 [-15.80,+7.69] / -1.37 | -5.24 [-16.19,+7.32] | 0.0022 |
| +10..+15 | long (pays) | 1,930 (0.244) | +11.81 / +11.54 | +24.67 [+11.36,+39.66] / +13.65 | +5.02 [-8.25,+19.96] | 0.0011 |
| +10..+15 | short (receives) | 907 (0.115) | -11.74 / -11.46 | -5.43 [-37.76,+26.90] / -6.68 | -1.53 [-33.82,+31.02] | 0.0004 |
| +15..+30 | long (pays) | 735 (0.093) | +19.25 / +18.16 | -7.38 [-42.53,+27.69] / +7.36 | -34.46 [-69.62,+0.55] | 0.0004 |
| +15..+30 | short (receives) | 226 (0.029) | -19.02 / -18.10 | -25.55 [-117.47,+48.97] / -13.54 | -14.38 [-106.15,+59.97] | 0.0001 |
| > +30 | long (pays) | 199 (0.025) | +57.73 / +41.48 | +126.83 [+19.31,+236.20] / +39.68 | +61.27 [-44.01,+170.51] | 0.0001 |
| > +30 | short (receives) | 61 (0.008) | -75.65 / -47.99 | -269.27 [-672.81,+72.39] / +0.00 | -201.46 [-580.82,+120.95] | 0.0000 |
BUCKET_DIAG_DONE
