PASS [PORT dynamic live form s42 (required receipt)] dev/probe_artifacts/w10_ablation_series_R0_pinned_log_s42.npz vs /workspace/port_w10/probe_artifacts/w10_ablation_series_pod_live_callog_s42.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=b20ec4fba5695d51 sha(ref)=dd85ded80c7af058
PASS [PORT dynamic live form s2027] dev/probe_artifacts/w10_ablation_series_R0_pinned_log_s2027.npz vs /workspace/port_w10/probe_artifacts/w10_ablation_series_pod_live_callog_s2027.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=e7e450d745262461 sha(ref)=634ea0dcd7c3ac7a
PASS [rolling_king Ldyn = R0 baseline] dev/probe_artifacts/w10_ablation_series_R0_pinned_log_s42.npz vs /workspace/review_scratch/rolling_king/dev/probe_artifacts/w10_ablation_series_Ldyn_pinned_log_s42.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=b20ec4fba5695d51 sha(ref)=5cd88da0ab1301b9
PASS [rolling_king Ldyn = R0 baseline] dev/probe_artifacts/w10_ablation_series_R0_pinned_log_s2027.npz vs /workspace/review_scratch/rolling_king/dev/probe_artifacts/w10_ablation_series_Ldyn_pinned_log_s2027.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=e7e450d745262461 sha(ref)=0c1c2d791723918b
PASS [rolling_king Ldyn = R0 baseline] dev_alt/probe_artifacts/w10_ablation_series_R0_pinned_prod_s42.npz vs /workspace/review_scratch/rolling_king/dev_alt/probe_artifacts/w10_ablation_series_Ldyn_pinned_prod_s42.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=634e5efef4709136 sha(ref)=e3efd781a0d97f02
PASS [rolling_king Ldyn = R0 baseline] dev_alt/probe_artifacts/w10_ablation_series_R0_pinned_prod_s2027.npz vs /workspace/review_scratch/rolling_king/dev_alt/probe_artifacts/w10_ablation_series_Ldyn_pinned_prod_s2027.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=5fa5a27fde197751 sha(ref)=fd2d988baa991f12
PASS [rolling_king Ldyn = R0 baseline] dev/probe_artifacts/w10_ablation_series_R0_rollm_log_s42.npz vs /workspace/review_scratch/rolling_king/dev/probe_artifacts/w10_ablation_series_Ldyn_rollm_log_s42.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=61c299c57b017597 sha(ref)=7b458aa683a76998
PASS [rolling_king Ldyn = R0 baseline] dev/probe_artifacts/w10_ablation_series_R0_rollm_log_s2027.npz vs /workspace/review_scratch/rolling_king/dev/probe_artifacts/w10_ablation_series_Ldyn_rollm_log_s2027.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=2c36f84518605f9c sha(ref)=c7c48eb3610eb827
PASS [rolling_king Ldyn = R0 baseline] dev_alt/probe_artifacts/w10_ablation_series_R0_rollm_prod_s42.npz vs /workspace/review_scratch/rolling_king/dev_alt/probe_artifacts/w10_ablation_series_Ldyn_rollm_prod_s42.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=f8afa4c75eb3e50f sha(ref)=019358fc3641b652
PASS [rolling_king Ldyn = R0 baseline] dev_alt/probe_artifacts/w10_ablation_series_R0_rollm_prod_s2027.npz vs /workspace/review_scratch/rolling_king/dev_alt/probe_artifacts/w10_ablation_series_Ldyn_rollm_prod_s2027.npz: {'d30_n2_c42_rec': True, 'S0_rec': True, 'd30_n2_c42_W': True, 'S0_W': True} config_equal(minus AXISB/REF_SKIP)=True device_sha=944fa277c074059e sha(mine)=6a7ac289f57539d3 sha(ref)=54032e7b266e7e3e
ALL_EQUIV True n 10
