## AG3-1 · Adjacent-month agreement: per-anchor Spearman(model_t, model_{t−1}) on month t's anchors; distribution over anchors 2025-02→2026-08 and per-month means
| series | n | mean | median | p10 | p90 | 2502 | 2503 | 2504 | 2505 | 2506 | 2507 | 2508 | 2509 | 2510 | 2511 | 2512 | 2601 | 2602 | 2603 | 2604 | 2605 | 2606 | 2607 | 2608 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| monthly_s42 | 3456 | +0.540 | +0.587 | +0.176 | +0.841 | +0.63 | +0.69 | -0.11 | +0.80 | +0.62 | +0.70 | +0.77 | +0.87 | +0.80 | +0.39 | +0.86 | +0.38 | +0.34 | +0.30 | +0.40 | +0.10 | +0.46 | +0.47 | +0.76 |
| monthly_s2027 | 3456 | +0.557 | +0.545 | +0.248 | +0.855 | +0.85 | +0.66 | +0.32 | +0.36 | +0.52 | +0.47 | +0.58 | +0.51 | +0.89 | +0.75 | +0.25 | +0.41 | +0.85 | +0.77 | +0.54 | +0.42 | +0.81 | +0.14 | +0.54 |
| CONST42 | 3456 | +0.798 | +0.849 | +0.567 | +0.941 | +0.89 | +0.91 | +0.68 | +0.84 | +0.76 | +0.92 | +0.91 | +0.81 | +0.96 | +0.81 | +0.94 | +0.93 | +0.85 | +0.85 | +0.60 | +0.54 | +0.43 | +0.65 | +0.86 |
| W1 | 3456 | +0.919 | +0.932 | +0.886 | +0.958 | +0.71 | +0.93 | +0.89 | +0.94 | +0.96 | +0.92 | +0.92 | +0.92 | +0.93 | +0.92 | +0.91 | +0.92 | +0.94 | +0.96 | +0.94 | +0.89 | +0.95 | +0.94 | +0.94 |
| W2 | 3456 | +0.965 | +0.969 | +0.943 | +0.982 | +0.98 | +0.92 | +0.97 | +0.96 | +0.99 | +0.97 | +0.95 | +0.97 | +0.97 | +0.95 | +0.97 | +0.97 | +0.96 | +0.97 | +0.94 | +0.96 | +0.98 | +0.98 | +0.96 |
| FLOOR5 | 3456 | +0.893 | +0.909 | +0.812 | +0.952 | +0.89 | +0.95 | +0.92 | +0.91 | +0.93 | +0.94 | +0.94 | +0.85 | +0.96 | +0.81 | +0.94 | +0.93 | +0.85 | +0.85 | +0.90 | +0.85 | +0.80 | +0.81 | +0.93 |

## AG3-2 · Same-month agreement (age 1) of each arm vs CONST42, vs monthly s42, and vs the yearly s42 file (own test year rows), 2025-01→2026-08 anchors
| pair | n | mean | median | p10 | p90 |
|---|---|---|---|---|---|
| W1 vs CONST42 | 3642 | +0.205 | +0.168 | +0.043 | +0.404 |
| W1 vs monthly_s42 | 3642 | +0.199 | +0.167 | +0.034 | +0.333 |
| W1 vs yearly_s42 | 3522 | +0.189 | +0.166 | +0.054 | +0.309 |
| W2 vs CONST42 | 3642 | +0.391 | +0.359 | +0.169 | +0.655 |
| W2 vs monthly_s42 | 3642 | +0.340 | +0.298 | +0.132 | +0.580 |
| W2 vs yearly_s42 | 3522 | +0.416 | +0.421 | +0.214 | +0.600 |
| CONST42 vs monthly_s42 | 3642 | +0.646 | +0.705 | +0.352 | +0.877 |
| CONST42 vs yearly_s42 | 3522 | +0.705 | +0.744 | +0.466 | +0.872 |
AGREEMENT3_DONE
