mE60 202501: OK | cfg ok wall 279.5s; pt ok; npz ok P (3642, 829) test-month finite rows 186/186
mE60 202502: OK | cfg ok wall 294.7s; pt ok; npz ok P (3456, 829) test-month finite rows 168/168
mE60 202503: OK | cfg ok wall 305.8s; pt ok; npz ok P (3288, 829) test-month finite rows 186/186
mE60 202504: OK | cfg ok wall 313.9s; pt ok; npz ok P (3102, 829) test-month finite rows 180/180
mE60 202505: OK | cfg ok wall 323.3s; pt ok; npz ok P (2922, 829) test-month finite rows 186/186
mE60 202506: OK | cfg ok wall 332.4s; pt ok; npz ok P (2736, 829) test-month finite rows 180/180
mE60 202507: OK | cfg ok wall 338.6s; pt ok; npz ok P (2556, 829) test-month finite rows 186/186
mE60 202508: OK | cfg ok wall 351.3s; pt ok; npz ok P (2370, 829) test-month finite rows 186/186
mE60 202509: OK | cfg ok wall 358.0s; pt ok; npz ok P (2184, 829) test-month finite rows 180/180
mE60 202510: OK | cfg ok wall 363.5s; pt ok; npz ok P (2004, 829) test-month finite rows 186/186
mE60 202511: OK | cfg ok wall 366.4s; pt ok; npz ok P (1818, 829) test-month finite rows 180/180
mE60 202512: OK | cfg ok wall 376.0s; pt ok; npz ok P (1638, 829) test-month finite rows 186/186
mE60 202601: OK | cfg ok wall 384.4s; pt ok; npz ok P (1452, 829) test-month finite rows 186/186
mE60 202602: OK | cfg ok wall 389.6s; pt ok; npz ok P (1266, 829) test-month finite rows 168/168
mE60 202603: OK | cfg ok wall 402.2s; pt ok; npz ok P (1098, 829) test-month finite rows 186/186
mE60 202604: OK | cfg ok wall 412.1s; pt ok; npz ok P (912, 829) test-month finite rows 180/180
mE60 202605: OK | cfg ok wall 420.0s; pt ok; npz ok P (732, 829) test-month finite rows 186/186
mE60 202606: OK | cfg ok wall 426.4s; pt ok; npz ok P (546, 829) test-month finite rows 180/180
mE60 202607: OK | cfg ok wall 432.3s; pt ok; npz ok P (366, 829) test-month finite rows 186/186
mE60 202608: OK | cfg ok wall 437.6s; pt ok; npz ok P (180, 829) test-month finite rows 180/180
mE60: stitched npy rows==fold P for 20/20 finished months; no finite rows outside finished months: True
mE60: complete 20 folds 202501..202608; partial []; CONSISTENT=True
mE1 202501: OK | cfg ok wall 294.3s; pt ok; npz ok P (3642, 829) test-month finite rows 186/186
mE1 202502: OK | cfg ok wall 301.2s; pt ok; npz ok P (3456, 829) test-month finite rows 168/168
mE1 202503: OK | cfg ok wall 305.9s; pt ok; npz ok P (3288, 829) test-month finite rows 186/186
mE1 202504: OK | cfg ok wall 318.9s; pt ok; npz ok P (3102, 829) test-month finite rows 180/180
mE1 202505: OK | cfg ok wall 326.7s; pt ok; npz ok P (2922, 829) test-month finite rows 186/186
mE1 202506: OK | cfg ok wall 333.5s; pt ok; npz ok P (2736, 829) test-month finite rows 180/180
mE1 202507: OK | cfg ok wall 335.6s; pt ok; npz ok P (2556, 829) test-month finite rows 186/186
mE1 202508: OK | cfg ok wall 353.7s; pt ok; npz ok P (2370, 829) test-month finite rows 186/186
mE1 202509: OK | cfg ok wall 355.7s; pt ok; npz ok P (2184, 829) test-month finite rows 180/180
mE1 202510: OK | cfg ok wall 366.6s; pt ok; npz ok P (2004, 829) test-month finite rows 186/186
mE1 202511: OK | cfg ok wall 367.0s; pt ok; npz ok P (1818, 829) test-month finite rows 180/180
mE1 202512: OK | cfg ok wall 379.7s; pt ok; npz ok P (1638, 829) test-month finite rows 186/186
mE1 202601: OK | cfg ok wall 385.4s; pt ok; npz ok P (1452, 829) test-month finite rows 186/186
mE1 202602: OK | cfg ok wall 400.1s; pt ok; npz ok P (1266, 829) test-month finite rows 168/168
mE1 202603: OK | cfg ok wall 405.9s; pt ok; npz ok P (1098, 829) test-month finite rows 186/186
mE1 202604: OK | cfg ok wall 417.5s; pt ok; npz ok P (912, 829) test-month finite rows 180/180
mE1 202605: OK | cfg ok wall 425.8s; pt ok; npz ok P (732, 829) test-month finite rows 186/186
mE1 202606: OK | cfg ok wall 431.8s; pt ok; npz ok P (546, 829) test-month finite rows 180/180
mE1 202607: OK | cfg ok wall 436.8s; pt ok; npz ok P (366, 829) test-month finite rows 186/186
mE1 202608: OK | cfg ok wall 445.8s; pt ok; npz ok P (180, 829) test-month finite rows 180/180
mE1: stitched npy rows==fold P for 20/20 finished months; no finite rows outside finished months: True
mE1: complete 20 folds 202501..202608; partial []; CONSISTENT=True
VERIFY OK
