LOADED 12 artifacts (4 anchors from f10_caliber, sha-asserted; 8 new); device sha256 8684d9a9f43a8d15beaa559cd12bd8f2977a3d088b01b93835f60f2bbf98a53d; identical anchor set n=10038 first 2022-01-31 00:00 last 2026-08-30 20:00
window sizes: 2024=2196, 2025=2190, 2026<=08-10=1332, 2024->26=5718, 2025->26=3522
UNITS: g = net_ex/gross_total [bps/anchor per unit gross]; NAV %/yr at L=2 (arithmetic) = mean g × 6 anchors/day × 365 days × 2 ÷ 1e4 × 100 = mean g × 43.8; 2×DD %NAV = maxDD(bps of g) × 2 / 100
### §B.1a Levels — PRIMARY per-gross caliber (g = net_ex/gross_total, bps/anchor per unit gross); arm d30_n2_c42; ⚠ = negative mean; NAV %/yr @2× = mean × 43.8 (per-gross only)

| φ | seed | window | mean bps/anchor | Sharpe (anchor) | maxDD bps | 2×DD %NAV | turnover/gross | NAV %/yr @2× | gross_total | w3_king | n |
|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.00 (无F10, 对照) | s42 | 2024 | +0.092 | +0.18 | 1933 | 38.66 | 0.0707 | 4.01 | 0.682 | 0.723 | 2196 |
| 0.00 (无F10, 对照) | s42 | 2025 | +0.370 | +0.62 | 1253 | 25.05 | 0.0514 | 16.19 | 0.678 | 0.742 | 2190 |
| 0.00 (无F10, 对照) | s42 | 2026<=08-10 | +2.679 | +4.37 | 386 | 7.72 | 0.0331 | 117.36 | 0.819 | 0.388 | 1332 |
| 0.00 (无F10, 对照) | s42 | 2024->26 | +0.801 | +1.42 | 1933 | 38.66 | 0.0545 | 35.08 | 0.712 | 0.652 | 5718 |
| 0.00 (无F10, 对照) | s42 | 2025->26 | +1.243 | +2.05 | 1253 | 25.05 | 0.0445 | 54.45 | 0.731 | 0.608 | 3522 |
| 0.00 (无F10, 对照) | s2027 | 2024 | +0.092 | +0.18 | 1933 | 38.66 | 0.0707 | 4.01 | 0.682 | 0.723 | 2196 |
| 0.00 (无F10, 对照) | s2027 | 2025 | +0.370 | +0.62 | 1253 | 25.05 | 0.0514 | 16.19 | 0.678 | 0.742 | 2190 |
| 0.00 (无F10, 对照) | s2027 | 2026<=08-10 | +2.679 | +4.37 | 386 | 7.72 | 0.0331 | 117.36 | 0.819 | 0.388 | 1332 |
| 0.00 (无F10, 对照) | s2027 | 2024->26 | +0.801 | +1.42 | 1933 | 38.66 | 0.0545 | 35.08 | 0.712 | 0.652 | 5718 |
| 0.00 (无F10, 对照) | s2027 | 2025->26 | +1.243 | +2.05 | 1253 | 25.05 | 0.0445 | 54.45 | 0.731 | 0.608 | 3522 |
| 0.25 | s42 | 2024 | +0.347 | +0.73 | 1604 | 32.07 | 0.0812 | 15.2 | 0.598 | 0.723 | 2196 |
| 0.25 | s42 | 2025 | +0.592 | +1.00 | 1216 | 24.33 | 0.0702 | 25.95 | 0.570 | 0.742 | 2190 |
| 0.25 | s42 | 2026<=08-10 | +2.967 | +4.72 | 410 | 8.21 | 0.0343 | 129.95 | 0.795 | 0.388 | 1332 |
| 0.25 | s42 | 2024->26 | +1.051 | +1.88 | 1604 | 32.07 | 0.0661 | 46.05 | 0.633 | 0.652 | 5718 |
