
===== s42  W=d30_n2_c42_W [10038, 829]
-- -4.0%  n_trips=6
   k(锚) | 触发时 vs 复场时 权重 L1 重叠 | 余弦 | 同号率 | 同 k 的随机锚基线重叠
       1 |  0.958  | 0.994 | 0.987 |  0.970   (n 6)
       2 |  0.921  | 0.980 | 0.973 |  0.948   (n 6)
       3 |  0.895  | 0.967 | 0.966 |  0.930   (n 6)
       6 |  0.848  | 0.934 | 0.945 |  0.887   (n 6)
      12 |  0.765  | 0.854 | 0.889 |  0.818   (n 6)
      24 |  0.648  | 0.707 | 0.830 |  0.720   (n 6)
      48 |  0.563  | 0.562 | 0.771 |  0.607   (n 6)
-- -2.68%  n_trips=30
   k(锚) | 触发时 vs 复场时 权重 L1 重叠 | 余弦 | 同号率 | 同 k 的随机锚基线重叠
       1 |  0.957  | 0.993 | 0.973 |  0.970   (n 30)
       2 |  0.928  | 0.983 | 0.962 |  0.948   (n 30)
       3 |  0.902  | 0.970 | 0.951 |  0.930   (n 30)
       6 |  0.852  | 0.935 | 0.923 |  0.887   (n 30)
      12 |  0.771  | 0.854 | 0.885 |  0.818   (n 30)
      24 |  0.663  | 0.718 | 0.825 |  0.720   (n 30)
      48 |  0.558  | 0.564 | 0.761 |  0.607   (n 30)

===== s2027  W=d30_n2_c42_W [10038, 829]
-- -4.0%  n_trips=9
   k(锚) | 触发时 vs 复场时 权重 L1 重叠 | 余弦 | 同号率 | 同 k 的随机锚基线重叠
       1 |  0.958  | 0.994 | 0.982 |  0.971   (n 9)
       2 |  0.924  | 0.981 | 0.969 |  0.949   (n 9)
       3 |  0.896  | 0.967 | 0.962 |  0.931   (n 9)
       6 |  0.843  | 0.929 | 0.934 |  0.886   (n 9)
      12 |  0.763  | 0.849 | 0.882 |  0.817   (n 9)
      24 |  0.659  | 0.719 | 0.830 |  0.719   (n 9)
      48 |  0.582  | 0.598 | 0.774 |  0.607   (n 9)
-- -2.68%  n_trips=32
   k(锚) | 触发时 vs 复场时 权重 L1 重叠 | 余弦 | 同号率 | 同 k 的随机锚基线重叠
       1 |  0.958  | 0.993 | 0.978 |  0.971   (n 32)
       2 |  0.927  | 0.982 | 0.963 |  0.949   (n 32)
       3 |  0.899  | 0.968 | 0.952 |  0.931   (n 32)
       6 |  0.847  | 0.931 | 0.920 |  0.886   (n 32)
      12 |  0.766  | 0.850 | 0.879 |  0.817   (n 32)
      24 |  0.657  | 0.714 | 0.819 |  0.719   (n 32)
      48 |  0.555  | 0.560 | 0.756 |  0.607   (n 32)

REBUILD_OVERLAP_DONE
