501d415d7bcad314a0f015377e95451a00803d6b5d112f431ab234ad5db1634d  gates/null_multiseed.py
[      5s] X (3002457, 78)
[      9s] fold 2022 seed 0: null IC -0.00133
[     12s] fold 2022 seed 1: null IC +0.00810
[     16s] fold 2022 seed 2: null IC +0.00697
[     19s] fold 2022 seed 3: null IC +0.00290
[     22s] fold 2022 seed 4: null IC +0.00296
[     27s] fold 2022 seed 5: null IC +0.00662
[     32s] fold 2022 seed 6: null IC -0.00319
[     36s] fold 2022 seed 7: null IC -0.00205
[     41s] fold 2022 seed 8: null IC +0.00731
[     45s] fold 2022 seed 9: null IC -0.00419
[     45s] FOLD 2022: true IC +0.0625; null mean +0.00241 (t vs 0 = +1.60), empirical sd 0.00476; SE_anchor 0.00306 (sd/SE 1.56), SE_dayblock 0.00322 (sd/SE 1.48); share beyond 2·SE_anchor 0.40, beyond 2·SE_dayblock 0.40
[     51s] fold 2023 seed 0: null IC -0.00627
[     57s] fold 2023 seed 1: null IC +0.00333
[     62s] fold 2023 seed 2: null IC +0.00124
[     67s] fold 2023 seed 3: null IC +0.00181
[     72s] fold 2023 seed 4: null IC +0.01072
[     77s] fold 2023 seed 5: null IC +0.00204
[     82s] fold 2023 seed 6: null IC -0.00207
[     87s] fold 2023 seed 7: null IC +0.00364
[     92s] fold 2023 seed 8: null IC +0.00501
[     97s] fold 2023 seed 9: null IC -0.00276
[     97s] FOLD 2023: true IC +0.0550; null mean +0.00167 (t vs 0 = +1.13), empirical sd 0.00468; SE_anchor 0.00297 (sd/SE 1.58), SE_dayblock 0.00305 (sd/SE 1.54); share beyond 2·SE_anchor 0.20, beyond 2·SE_dayblock 0.20
[    104s] fold 2024 seed 0: null IC +0.00187
[    111s] fold 2024 seed 1: null IC +0.00029
[    118s] fold 2024 seed 2: null IC -0.00168
[    125s] fold 2024 seed 3: null IC +0.00423
[    132s] fold 2024 seed 4: null IC +0.00722
[    139s] fold 2024 seed 5: null IC +0.00051
[    145s] fold 2024 seed 6: null IC +0.00666
[    152s] fold 2024 seed 7: null IC -0.00375
[    159s] fold 2024 seed 8: null IC +0.00885
[    166s] fold 2024 seed 9: null IC +0.00101
[    166s] FOLD 2024: true IC +0.0605; null mean +0.00252 (t vs 0 = +1.95), empirical sd 0.00409; SE_anchor 0.00271 (sd/SE 1.51), SE_dayblock 0.00270 (sd/SE 1.52); share beyond 2·SE_anchor 0.30, beyond 2·SE_dayblock 0.30
[    176s] fold 2025 seed 0: null IC +0.00449
[    185s] fold 2025 seed 1: null IC +0.00377
[    194s] fold 2025 seed 2: null IC +0.00482
[    204s] fold 2025 seed 3: null IC +0.00098
[    213s] fold 2025 seed 4: null IC +0.00972
[    222s] fold 2025 seed 5: null IC -0.00036
[    232s] fold 2025 seed 6: null IC +0.00518
[    241s] fold 2025 seed 7: null IC -0.00656
[    251s] fold 2025 seed 8: null IC -0.00307
[    260s] fold 2025 seed 9: null IC -0.00240
[    260s] FOLD 2025: true IC +0.0637; null mean +0.00166 (t vs 0 = +1.08), empirical sd 0.00484; SE_anchor 0.00262 (sd/SE 1.85), SE_dayblock 0.00247 (sd/SE 1.96); share beyond 2·SE_anchor 0.20, beyond 2·SE_dayblock 0.30
[    272s] fold 2026 seed 0: null IC -0.00179
[    283s] fold 2026 seed 1: null IC +0.01296
[    295s] fold 2026 seed 2: null IC +0.00452
[    306s] fold 2026 seed 3: null IC +0.00022
[    318s] fold 2026 seed 4: null IC +0.00031
[    330s] fold 2026 seed 5: null IC +0.00681
[    341s] fold 2026 seed 6: null IC +0.00984
[    353s] fold 2026 seed 7: null IC +0.00370
[    365s] fold 2026 seed 8: null IC +0.00143
[    377s] fold 2026 seed 9: null IC +0.00134
[    377s] FOLD 2026: true IC +0.0582; null mean +0.00393 (t vs 0 = +2.65), empirical sd 0.00469; SE_anchor 0.00260 (sd/SE 1.80), SE_dayblock 0.00294 (sd/SE 1.60); share beyond 2·SE_anchor 0.30, beyond 2·SE_dayblock 0.30
[    377s] wrote results/G4b_multiseed.json; expected exceedance of 15 independent 2σ tests: {'p_two_sided_2sigma': np.float64(0.04550026389635842), 'P_at_least_one_of_15': np.float64(0.5026785515476477), 'expected_count_of_15': np.float64(0.6825039584453763)}
