Y24 float32 (14329, 829) bda427c1a464
Y4 float32 (14329, 829) bf45b68297cc
elig bool (14329, 829) 93c6b445758d
f_amihud_24h float32 (14329, 829) 026f6fec0807
f_asz_24h float32 (14329, 829) f349409b46d7
f_cpos_24h float32 (14329, 829) 80660da3c015
f_fund_ema float32 (14329, 829) 0d467f3d3ee0
f_fund_ema_v1 float32 (14329, 829) 62df5cea9cc5
f_fund_ema_v2 float32 (14329, 829) 4c315e70d543
f_fund_iv float32 (14329, 829) d040761fa7eb
f_fund_now float32 (14329, 829) aba02f0c90ed
f_mom_30d float32 (14329, 829) 44134b18d183
f_mom_7d float32 (14329, 829) cef1e747deec
f_mom_7d_x24 float32 (14329, 829) d2e061da6636
f_range_24h float32 (14329, 829) 597c7b9afc22
f_rev_24h float32 (14329, 829) a7fc7a0ab1d3
f_rev_3d float32 (14329, 829) 5af420b2b8dd
f_rev_4h float32 (14329, 829) c97046624eac
f_tbf_24h float32 (14329, 829) 114da2c37d25
f_vol_7d float32 (14329, 829) 7b0ca565ec6a
f_volq_ratio float32 (14329, 829) a0efed9f7018
symbols <U15 (829,) fef988f09dfc
ts int64 (14329,) 4b8bc7402188
